Ticker,4DS.AX,ATM.AX,ATU.AX,AZ9.AX,BB1.AX,FNR.AX,IDA.AX,IPC.AX,KBC.AX,KM1.AX,LDX.AX,MAF.AX,MTO.AX,NWSLV.AX,OEQ.AX,PIQ.AX,SIG.AX,T3D.AX,VTM.AX,WTC.AX
4DS.AX,0.007976569390178916,,,,,,,,,,,,,,,,,,,
ATM.AX,,5.684855505490314e-05,,,,,,,,,,,,,,,,,,
ATU.AX,,,3.099537932492653e-09,,,,,,,,,,,,,,,,,
AZ9.AX,,,,0.00010515067261063907,,,,,,,,,,,,,,,,
BB1.AX,,,,,0.002377520967115998,,,,,,,,,,,,,,,
FNR.AX,,,,,,0.006611805107392392,,,,,,,,,,,,,,
IDA.AX,,,,,,,0.0038419395691065526,,,,,,,,,,,,,
IPC.AX,,,,,,,,0.00016228265481322887,,,,,,,,,,,,
KBC.AX,,,,,,,,,0.0019559247897279982,,,,,,,,,,,
KM1.AX,,,,,,,,,,0.005189656208748197,,,,,,,,,,
LDX.AX,,,,,,,,,,,0.13578222431306372,,,,,,,,,
MAF.AX,,,,,,,,,,,,0.0005412316807445879,,,,,,,,
MTO.AX,,,,,,,,,,,,,0.001071783819370186,,,,,,,
NWSLV.AX,,,,,,,,,,,,,,0.000912783430224426,,,,,,
OEQ.AX,,,,,,,,,,,,,,,0.013216807552914607,,,,,
PIQ.AX,,,,,,,,,,,,,,,,0.0016029367885818729,,,,
SIG.AX,,,,,,,,,,,,,,,,,0.0010208466966005463,,,
T3D.AX,,,,,,,,,,,,,,,,,,0.008216635548292288,,
VTM.AX,,,,,,,,,,,,,,,,,,,0.0032657966774569695,
WTC.AX,,,,,,,,,,,,,,,,,,,,0.0005446757005827099
